epoch,train_mse,test_mse,train_r2,test_r2,lr
254,0.01409613,0.01766198,0.98590386,0.98133105,0.00100000
255,0.01436753,0.01777162,0.98563242,0.98117149,0.00100000
256,0.01255957,0.01582550,0.98744047,0.98321509,0.00100000
257,0.01420842,0.01718989,0.98579156,0.98173952,0.00100000
258,0.01294366,0.01626028,0.98705631,0.98275924,0.00100000
259,0.01232688,0.01563261,0.98767310,0.98340803,0.00100000
260,0.01326277,0.01645038,0.98673725,0.98259020,0.00100000
261,0.01485447,0.01783119,0.98514557,0.98110116,0.00100000
262,0.01330014,0.01705679,0.98669982,0.98191226,0.00100000
263,0.01274292,0.01611499,0.98725706,0.98295188,0.00100000
264,0.01325644,0.01604726,0.98674351,0.98295403,0.00100000
265,0.01472331,0.01804727,0.98527664,0.98089075,0.00100000
266,0.01476940,0.01747933,0.98523062,0.98140866,0.00100000
267,0.01455203,0.01728125,0.98544800,0.98173392,0.00100000
268,0.01332907,0.01672762,0.98667097,0.98224801,0.00100000
269,0.01284536,0.01605950,0.98715460,0.98295856,0.00100000
270,0.01357076,0.01673924,0.98642921,0.98225874,0.00100000
271,0.01677424,0.01936010,0.98322582,0.97957438,0.00100000
272,0.01402887,0.01669536,0.98597109,0.98228127,0.00100000
273,0.01270381,0.01561677,0.98729616,0.98341256,0.00100000
274,0.01507552,0.01806794,0.98492450,0.98091805,0.00100000
275,0.01249583,0.01685257,0.98750418,0.98210746,0.00100000
276,0.01505368,0.01779348,0.98494631,0.98122716,0.00100000
277,0.01811161,0.02003411,0.98188835,0.97871321,0.00100000
278,0.01379358,0.01670699,0.98620641,0.98232484,0.00100000
279,0.01572701,0.01886090,0.98427302,0.98010254,0.00100000
280,0.01572148,0.01805850,0.98427850,0.98089355,0.00100000
281,0.01458647,0.01736951,0.98541349,0.98153353,0.00100000
282,0.01335313,0.01714729,0.98664689,0.98181909,0.00100000
283,0.01284727,0.01534369,0.98715276,0.98376119,0.00100000
284,0.01740197,0.02059078,0.98259807,0.97831964,0.00100000
285,0.01333162,0.01643109,0.98666835,0.98253727,0.00100000
286,0.01502410,0.01721691,0.98497587,0.98171937,0.00100000
287,0.01384398,0.01757050,0.98615599,0.98138076,0.00100000
288,0.01915563,0.02136745,0.98084438,0.97737563,0.00100000
289,0.01397299,0.01714906,0.98602700,0.98181081,0.00100000
290,0.01543888,0.01821415,0.98456109,0.98075223,0.00100000
291,0.01432026,0.01734150,0.98567975,0.98167390,0.00100000
292,0.01394451,0.01724727,0.98605549,0.98169088,0.00100000
293,0.01407472,0.01776570,0.98592526,0.98118931,0.00100000
294,0.01485068,0.01825950,0.98514932,0.98060346,0.00100000
295,0.01451378,0.01842342,0.98548627,0.98044652,0.00100000
