trial_id,hidden_dims,output,MSE,RMSE,MAE,R2,MaxAbsErr,MeanRelErr%,P95RelErr%,P99RelErr%,MeanBias,StdErr
435,"[128, 256, 512, 256, 128]",Fz,0.002854,0.053425,0.040547,0.997243,0.249266,23.365255,69.511317,309.427466,0.012934,0.051835
435,"[128, 256, 512, 256, 128]",Torque,0.001212,0.034816,0.027037,0.998743,0.139074,78.188469,44.743018,149.482405,0.004080,0.034576
70,"[128, 256, 128]",Fx,0.001409,0.037536,0.029088,0.998562,0.155693,11.732335,37.220033,107.852667,0.004105,0.037311
70,"[128, 256, 128]",Fy,0.042301,0.205672,0.147371,0.954616,1.386630,99.890015,215.908578,1299.483589,-0.002576,0.205655
70,"[128, 256, 128]",Fz,0.002295,0.047909,0.036927,0.997783,0.207377,20.246531,63.372319,278.767421,0.000123,0.047909
70,"[128, 256, 128]",Torque,0.001174,0.034259,0.026890,0.998783,0.125567,59.395172,35.908956,257.279888,-0.002501,0.034167
123,"[256, 512, 256]",Fx,0.000691,0.026280,0.020398,0.999295,0.116702,8.230090,23.252003,103.274821,-0.003466,0.026050
123,"[256, 512, 256]",Fy,0.044268,0.210399,0.148640,0.952506,1.412980,116.727867,229.129122,1338.827142,0.013207,0.209984
123,"[256, 512, 256]",Fz,0.001647,0.040581,0.030677,0.998409,0.179376,15.277841,52.351471,222.240955,0.001621,0.040549
123,"[256, 512, 256]",Torque,0.000649,0.025467,0.019913,0.999327,0.107339,36.262383,28.287674,130.165805,-0.002818,0.025311
227,"[128, 256, 256, 128]",Fx,0.001695,0.041173,0.032545,0.998269,0.179964,16.044994,41.181318,151.541549,0.010628,0.039778
227,"[128, 256, 256, 128]",Fy,0.041889,0.204667,0.147026,0.955058,1.315567,100.040344,222.215753,1396.541444,0.017253,0.203939
227,"[128, 256, 256, 128]",Fz,0.002271,0.047659,0.035720,0.997806,0.304061,21.539259,57.107748,261.181780,0.001663,0.047630
227,"[128, 256, 256, 128]",Torque,0.001410,0.037543,0.029618,0.998538,0.141116,69.695518,46.836943,206.764335,0.013650,0.034974
147,"[64, 128, 128, 64]",Fx,0.001204,0.034696,0.026498,0.998771,0.221312,12.232670,32.553755,124.711868,-0.004109,0.034452
147,"[64, 128, 128, 64]",Fy,0.042747,0.206753,0.146461,0.954137,1.447547,111.409973,216.131725,1284.145551,0.013289,0.206326
147,"[64, 128, 128, 64]",Fz,0.002204,0.046944,0.035014,0.997872,0.213322,24.726460,61.436008,251.264803,-0.004346,0.046743
147,"[64, 128, 128, 64]",Torque,0.001120,0.033466,0.025692,0.998838,0.176353,38.678047,42.833532,174.032280,-0.001171,0.033446
383,"[256, 512, 512, 256]",Fx,0.001192,0.034533,0.026518,0.998783,0.182369,9.081835,25.543056,107.598561,-0.005346,0.034116
383,"[256, 512, 512, 256]",Fy,0.043040,0.207461,0.149073,0.953823,1.486135,113.438652,228.807150,1503.177686,0.014487,0.206954
383,"[256, 512, 512, 256]",Fz,0.001940,0.044043,0.034070,0.998126,0.227675,18.974764,58.824334,213.328666,0.002981,0.043942
383,"[256, 512, 512, 256]",Torque,0.001126,0.033550,0.025803,0.998832,0.159666,78.846634,34.621232,182.596983,-0.005094,0.033161
263,"[64, 128, 256, 128]",Fx,0.001944,0.044086,0.034060,0.998016,0.241029,13.462345,39.698500,201.529642,-0.007062,0.043517
263,"[64, 128, 256, 128]",Fy,0.041099,0.202728,0.145331,0.955906,1.295918,93.586830,207.153351,1243.892999,0.002411,0.202714
263,"[64, 128, 256, 128]",Fz,0.002716,0.052112,0.040935,0.997377,0.200400,22.948055,65.164297,295.631000,0.003502,0.051994
263,"[64, 128, 256, 128]",Torque,0.001588,0.039851,0.031417,0.998353,0.148268,78.036201,41.301716,303.994693,0.003679,0.039681
226,"[128, 256, 256, 128]",Fx,0.001174,0.034266,0.026491,0.998801,0.142850,14.025516,28.323678,175.849846,-0.001824,0.034218
226,"[128, 256, 256, 128]",Fy,0.043092,0.207585,0.145580,0.953768,1.452677,120.921806,225.488659,1372.986261,-0.000343,0.207585
226,"[128, 256, 256, 128]",Fz,0.002150,0.046369,0.034974,0.997923,0.250529,20.643278,68.079727,304.544743,-0.005731,0.046014
226,"[128, 256, 256, 128]",Torque,0.000986,0.031406,0.024259,0.998977,0.131194,36.696087,40.461989,204.333392,0.001121,0.031386
466,"[128, 256, 512, 256, 128]",Fx,0.001609,0.040108,0.031375,0.998358,0.183317,11.386431,33.129751,127.849646,-0.000371,0.040106
466,"[128, 256, 512, 256, 128]",Fy,0.041838,0.204543,0.144442,0.955113,1.673458,118.892014,216.306145,1173.269108,-0.001457,0.204538
466,"[128, 256, 512, 256, 128]",Fz,0.002447,0.049465,0.037553,0.997637,0.223051,21.125849,53.585864,224.462189,0.002489,0.049403
466,"[128, 256, 512, 256, 128]",Torque,0.001516,0.038931,0.030343,0.998428,0.157597,81.815018,39.749061,159.586888,0.000456,0.038928
82,"[128, 256, 128]",Fx,0.000994,0.031533,0.024390,0.998985,0.154552,10.882000,28.653287,119.238199,-0.001228,0.031509
82,"[128, 256, 128]",Fy,0.043264,0.208000,0.148033,0.953583,1.349538,106.971428,233.374070,1042.978433,0.005050,0.207939
82,"[128, 256, 128]",Fz,0.002317,0.048133,0.037116,0.997762,0.224766,19.627829,65.369979,295.103110,-0.003937,0.047971
82,"[128, 256, 128]",Torque,0.000858,0.029284,0.022694,0.999111,0.111797,35.791904,27.468423,189.846258,0.000426,0.029280
34,"[64, 128, 64]",Fx,0.001280,0.035782,0.027659,0.998693,0.146370,11.750254,33.101381,174.739173,-0.006544,0.035178
34,"[64, 128, 64]",Fy,0.042397,0.205906,0.147438,0.954512,1.382404,118.187805,214.413514,1463.520776,0.003035,0.205884
